YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Age,Race,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2015,AK,Alaska,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,11.7,,,1.7,8.8,15.5,1404,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,AK,Alaska,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,14.7,,,2.0,11.2,19.1,699,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,AK,Alaska,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,8.2,,,1.7,5.4,12.2,698,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,11.1,,,1.1,9.1,13.6,1351,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,13.3,,,1.5,10.6,16.7,667,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,8.4,,,1.4,6.0,11.7,679,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,3.7,,,0.9,2.2,6.1,1351,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,4.6,,,1.1,2.8,7.3,667,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Frequent,%,Percentage,2.6,,,1.0,1.2,5.7,679,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,3GEN,8AGE,6RAC,2EDU,YRB02,2
2015,AL,Alabama,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,12.5,,,1.5,9.7,15.8,1543,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,151BEH,168SSP,1GEN,8AGE,6RAC,2EDU,YRB03,3
2015,AL,Alabama,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,19.6,,,1.8,16.2,23.6,793,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,151BEH,168SSP,2GEN,8AGE,6RAC,2EDU,YRB04,4
2015,AL,Alabama,Tobacco Use - Survey Data,Smokeless Tobacco Use (Youth),User Status,YRBSS,Current,%,Percentage,4.5,,,1.0,2.8,7.2,741,Female,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,151BEH,168SSP,3GEN,8AGE,6RAC,2EDU,YRB05,5
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,14.0,,,1.2,11.6,16.8,1444,Overall,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2015,AL,Alabama,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,YRBSS,Current,%,Percentage,13.4,,,1.4,10.7,16.6,736,Male,All Ages,All Races,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,169SSA,2GEN,8AGE,6RAC,2EDU,YRB01,1
